ID,ID2,Site,Sr,Sd,Lat,Lon,Tooth position (cm),Delta13Ccarb-coll
VB-A2,A1,Aiguá,0.708721000,0.00002,-34.048349,-54.612077,,10.31
VB-A3,A2,Aiguá,0.708712000,0.00001,-34.048349,-54.612077,,
VB-C3,C1,Caño,0.707811166,0.00001,-34.387522,-57.890684,,
VB-C4,C2,Caño,0.707823000,0.00001,-34.387522,-57.890684,,
VB-M1,Y,Yi,0.709343000,0.00001,-33.32197,-56.523267,,9.38
VB-M2,M,Mercedes,0.707768000,0.00002,-33.289751,-58.017411,,
VB-M11,B,Barreto,0.708333000,0.00001,-33.232412,-57.501647,,
VB-CAV464,AdV1,AdV,0.707748000,0.00001,-34.617642,-56.042491,,
VB-CAV474,Adv2,AdV,0.707661000,0.00001,-34.617642,-56.042491,,
VB-CAV977,AdV3,AdV,0.707699498,0.000005,-34.617642,-56.042491,,
VB-CAV979,AdV4,AdV,0.707682077,0.00001,-34.617642,-56.042491,,11.8
VB-CAV1560,AdV5,AdV,0.707710547,0.00001,-34.617642,-56.042491,,
VB-CAV1180_0.5,AdV0.5,AdV,0.707714000,0.00003,-34.617642,-56.042491,0.5,
VB-CAV1180_1.0,AdV1.0,AdV,0.707711821,0.00002,-34.617642,-56.042491,1,
VB-CAV1180_2.0,AdV2.0,AdV,0.707716915,0.00002,-34.617642,-56.042491,2,
VB-CAV1180_3.0,AdV3.0,AdV,0.707733000,0.00004,-34.617642,-56.042491,3,
VB-CAV1180_4.0,AdV4.0,AdV,0.707709645,0.00001,-34.617642,-56.042491,4,
VB-CAV1180_5.0,AdV5.0,AdV,0.707710039,0.00001,-34.617642,-56.042491,5,
VB-CAV1180_6.0,AdV6.0,AdV,0.707696341,0.00002,-34.617642,-56.042491,6,
VB-CAV1180_7.0,AdV7.0,AdV,0.707709317,0.00001,-34.617642,-56.042491,7,
VB-CAV1180_8.0,AdV8.0,AdV,0.707685000,0.00004,-34.617642,-56.042491,8,
VB-CAV1180_9.0,AdV9.0,AdV,0.707691118,0.00002,-34.617642,-56.042491,9,
